類型(Types),先備關係(Prerequisite),名稱(Name)
先備關係(Prerequisite),"解決加乘兩步驟問題（不併式）
三位數乘以一位數（進位）
三位數加法(進位，但不進到千位)",解決加乘兩步驟問題（不併式，二、三位數）
先備關係(Prerequisite),"解決減乘兩步驟問題（不併式）
三位數乘以一位數（進位）
三位數減法(一次退位)",解決減乘兩步驟問題（不併式，二、三位數）
先備關係(Prerequisite),一、二位數÷一位數，商為一位數(有餘數),知道整數除以整數中，除數、被除數、商和餘數的關係
先備關係(Prerequisite),"一、二位數÷一位數，商為一位數(整除)
二位數減二位數（退位，被減數在99以內）",一、二位數÷一位數，商為一位數(有餘數)
先備關係(Prerequisite),"十十乘法及應用
分裝
平分",一、二位數÷一位數，商為一位數(整除)
先備關係(Prerequisite),一、二位數÷一位數，商為一位數(整除),0和1的除法
先備關係(Prerequisite),二位數除以一位數，商為二位數,餘數的應用問題（如搭計程車、氣球顏色問題……）
先備關係(Prerequisite),一、二位數÷一位數，商為一位數(有餘數),三位數除以一位數的估商
先備關係(Prerequisite),一、二位數÷一位數，商為一位數(有餘數),二位數除以一位數，商為二位數
先備關係(Prerequisite),"二位數除以一位數，商為二位數
三位數除以一位數的估商",三位數除以一位數
先備關係(Prerequisite),二位數乘以一位數（進位）,解決連乘兩步驟問題（不併式）
先備關係(Prerequisite),解決連乘兩步驟問題（不併式）,倍的計算
先備關係(Prerequisite),"三位數除以一位數
三位數加法(進位，但不進到千位)",解決加除兩步驟問題（不併式）
先備關係(Prerequisite),"三位數除以一位數
三位數加法(進位，但不進到千位)",解決除加兩步驟問題（不併式）
先備關係(Prerequisite),"三位數除以一位數
三位數減法(一次退位)",解決減除兩步驟問題（不併式）
先備關係(Prerequisite),"三位數除以一位數
三位數減法(一次退位)",解決除減兩步驟問題（不併式）
先備關係(Prerequisite),單位分數的累加（不超過2）,同分母分數的加法
先備關係(Prerequisite),單位分數的累加（不超過2）,同分母分數的減法
先備關係(Prerequisite),"同分母分數的加法
同分母分數的減法
用線段圖輔助學生理解應用問題",分數的加減應用（未知型、單位不同）
先備關係(Prerequisite),零點A＝十分之A,一位小數加法
先備關係(Prerequisite),零點A＝十分之A,一位小數減法
先備關係(Prerequisite),直接對應表格,交叉對應表格
先備關係(Prerequisite),做分類、紀錄、呈現、說明與討論,直接對應表格
先備關係(Prerequisite),交叉對應表格,功課表
先備關係(Prerequisite),交叉對應表格,火車時刻表與票價表
先備關係(Prerequisite),交叉對應表格,交叉對應表格（功課表、火車時刻表和票價表以外的表格）
先備關係(Prerequisite),交叉對應表格,製作統計表
先備關係(Prerequisite),交叉對應表格,表格的應用（合計）
先備關係(Prerequisite),毫米和公分的關係和換算,毫米和公分的長度比較
先備關係(Prerequisite),"認識1公分及幾個1公分就是幾公分
認識整數數線",認識一毫米
先備關係(Prerequisite),"認識一毫米
測量整公分的長度（基本型）",毫米的實測，估測和比較
先備關係(Prerequisite),認識一毫米,毫米和公分的關係和換算
先備關係(Prerequisite),毫米和公分的關係和換算,毫米和公分的加法
先備關係(Prerequisite),毫米和公分的關係和換算,毫米和公分的減法
先備關係(Prerequisite),"毫米的實測，估測和比較
測量整公分的長度（基本型）",測量及繪製以公分和毫米為單位的長度
先備關係(Prerequisite),"毫米和公分的關係和換算
公分和公尺的關係和換算",毫米和公分、公尺的關係和換算
先備關係(Prerequisite),認識平面圖形的邊、角和頂點,認識角及構成要素
先備關係(Prerequisite),認識角及構成要素,直接比較角的大小
先備關係(Prerequisite),直接比較角的大小,間接比較角的大小
先備關係(Prerequisite),直接比較角的大小,認識並辨別直角
先備關係(Prerequisite),認識並辨別直角,認識並辨別鈍角和銳角
先備關係(Prerequisite),認識並辨別直角,繪製直角
先備關係(Prerequisite),"認識公升及報讀
容量或液量個別單位比較
認識整數數線",認識毫公升及報讀
先備關係(Prerequisite),"認識毫公升及報讀
認識公升及報讀",公升和毫公升的液量估測
先備關係(Prerequisite),認識毫公升及報讀,毫公升的液量估測
先備關係(Prerequisite),容量或液量個別單位比較,認識公升及報讀
先備關係(Prerequisite),認識公升及報讀,公升的液量估測
