Types,Prerequisite,Target
Prerequisite,"中垂線性質
角平分線性質
三角形的全等性質
相似性質",幾何證明-尺規作圖結果的證明
Prerequisite,"畢氏定理
乘法公式
等差數列",代數證明
Prerequisite,無,三角形的外心定義
Prerequisite,三角形的外心定義,三角形的外心到三頂點等距離
Prerequisite,三角形的外心定義,銳角三角形的外心位置與角度應用
Prerequisite,三角形的外心定義,直角三角形的外心位置與外接圓半徑
Prerequisite,三角形的外心定義,鈍角三角形的外心位置與角度應用
Prerequisite,三角形的外心定義,計算等腰三角形的外接圓半徑
Prerequisite,無,三角形的內心定義
Prerequisite,三角形的內心定義,三角形的內心到三邊等距離
Prerequisite,三角形的內心定義,三角形面積=1/2三角形周長*三角形的內切圓半徑
Prerequisite,三角形的內心定義,計算等腰三角形的內切圓半徑
Prerequisite,過圓外一點的切線性質,直角三角形的內切圓半徑=1/2(兩股和-斜邊長)
Prerequisite,三角形的內心定義,三角形內心在面積上的應用
Prerequisite,三角形的內心定義,三角形內心與角度應用
Prerequisite,無,中線的定義
Prerequisite,無,三角形的重心定義
Prerequisite,AA相似性質,三角形的重心到一頂點的距離=2/3過該頂點的中線長
Prerequisite,等高三角形的面積比,重心與三頂點的連線將面積3等分，三角形的三中線將面積6等分
Prerequisite,無,角柱的點、邊、面
Prerequisite,無,判斷角柱的展開圖
Prerequisite,無,角柱的表面積
Prerequisite,無,角柱的體積
Prerequisite,無,圓柱的底和側面
Prerequisite,無,判斷圓柱的展開圖
Prerequisite,無,圓柱的表面積
Prerequisite,無,圓柱的體積
Prerequisite,無,角錐的點、邊、面
Prerequisite,無,判斷角錐的展開圖
Prerequisite,利用畢氏定理求邊長,正角錐的表面積
Prerequisite,無,圓錐的點、面
Prerequisite,無,判斷圓錐的展開圖
Prerequisite,"圓心角與弧長
扇形的面積",圓錐的表面積
Prerequisite,"角柱的表面積
圓柱的表面積
角錐的表面積
圓錐的表面積",複合形體的表面積
Prerequisite,"角柱的體積
圓柱的體積",複合形體的體積
Prerequisite,無,長方體、正四面體中平面與平面的關係(垂直或平行)
Prerequisite,無,長方體、正四面體中直線與平面的關係(垂直或平行)
Prerequisite,利用畢氏定理求邊長,長方體、正四面體中各點間的距離
Prerequisite,無,長方體、正四面體中直線與直線的關係(平行或歪斜)
Prerequisite,無,長條圖
Prerequisite,無,折線圖-離散型資料
Prerequisite,無,圓形圖
Prerequisite,無,列聯表
Prerequisite,無,次數分配表
Prerequisite,無,次數分配直方圖
